time,podName,estimate,latitude,longitude,elevation
3/3/2022 3:00,YPODB3,2.99845017,40.585257,-104.828085,5197
3/3/2022 4:00,YPODB3,2.941454839,40.585257,-104.828085,5197
3/3/2022 5:00,YPODB3,2.880140536,40.585257,-104.828085,5197
3/3/2022 6:00,YPODB3,3.133158516,40.585257,-104.828085,5197
3/3/2022 7:00,YPODB3,2.731825752,40.585257,-104.828085,5197
3/3/2022 8:00,YPODB3,3.197387245,40.585257,-104.828085,5197
3/3/2022 9:00,YPODB3,2.808195359,40.585257,-104.828085,5197
3/3/2022 10:00,YPODB3,2.305475338,40.585257,-104.828085,5197
3/3/2022 11:00,YPODB3,2.354689619,40.585257,-104.828085,5197
3/3/2022 12:00,YPODB3,2.464215482,40.585257,-104.828085,5197
3/3/2022 13:00,YPODB3,2.37635949,40.585257,-104.828085,5197
3/3/2022 14:00,YPODB3,2.391956882,40.585257,-104.828085,5197
3/3/2022 15:00,YPODB3,2.446176277,40.585257,-104.828085,5197
3/3/2022 16:00,YPODB3,2.672254991,40.585257,-104.828085,5197
3/3/2022 17:00,YPODB3,3.081365553,40.585257,-104.828085,5197
3/3/2022 18:00,YPODB3,4.274614918,40.585257,-104.828085,5197
3/3/2022 19:00,YPODB3,3.720312151,40.585257,-104.828085,5197
3/3/2022 20:00,YPODB3,3.615870784,40.585257,-104.828085,5197
3/3/2022 21:00,YPODB3,3.087278783,40.585257,-104.828085,5197
3/3/2022 22:00,YPODB3,3.101026683,40.585257,-104.828085,5197
3/3/2022 23:00,YPODB3,2.898314031,40.585257,-104.828085,5197
3/4/2022 0:00,YPODB3,3.170873972,40.585257,-104.828085,5197
3/4/2022 1:00,YPODB3,3.259664196,40.585257,-104.828085,5197
3/4/2022 2:00,YPODB3,3.205228604,40.585257,-104.828085,5197
3/4/2022 3:00,YPODB3,2.77642856,40.585257,-104.828085,5197
3/4/2022 4:00,YPODB3,2.780690342,40.585257,-104.828085,5197
3/4/2022 5:00,YPODB3,3.094995604,40.585257,-104.828085,5197
